class,precision,recall,f1_score,support
Bedroom,0.88,0.70,0.78,43
Coast,0.83,0.83,0.83,72
Forest,0.91,0.95,0.93,66
Highway,0.96,0.88,0.92,52
Industrial,0.85,0.74,0.79,62
Inside_city,0.79,0.85,0.82,62
Kitchen,0.69,0.57,0.62,42
Living_room,0.74,0.83,0.78,58
Mountain,0.88,0.95,0.91,75
Office,0.91,0.93,0.92,43
Open_country,0.83,0.83,0.83,82
Store,0.76,0.70,0.73,63
Street,0.92,0.98,0.95,58
Suburb,0.98,0.98,0.98,48
Tall_building,0.88,0.97,0.93,71
macro_avg,0.85,0.85,0.85,897
weighted_avg,0.85,0.85,0.85,897
